item_id,case_id,predicted_family,rank,chunk_id,first_label,second_label,second_reason
iot-v2-001|1,iot-v2-001,Benign,1,NIST.SP.800-61r3-0055,direct,direct,"For the Benign family, this directly supports non-disruptive continuous monitoring and explicitly advises finding anomalies and indicators of compromise without implying a specific attack mitigation."
iot-v2-001|2,iot-v2-001,Benign,2,NIST.SP.800-213A-0053,direct,direct,"For the Benign family, this directly discusses event identification and monitoring for IoT devices, which is useful for benign monitoring and avoiding unnecessary mitigation."
iot-v2-001|3,iot-v2-001,Benign,3,NIST.IR.8259A-0022,direct,direct,"For the Benign family, this directly covers cybersecurity state awareness and access to device state, supporting benign assessment and monitoring rather than attack-specific response."
iot-v2-002|1,iot-v2-002,Benign,1,NIST.SP.800-61r3-0055,direct,direct,"For the Benign family, this directly supports continuous monitoring of assets for anomalies and adverse events, which is applicable to benign observation and not disruptive mitigation."
iot-v2-002|2,iot-v2-002,Benign,2,NIST.SP.800-213A-0053,direct,direct,"For the Benign family, this directly addresses IoT event identification and monitoring capabilities, helping assess normal behavior without presuming an attack."
iot-v2-002|3,iot-v2-002,Benign,3,NIST.IR.8259A-0022,direct,direct,"For the Benign family, this directly describes reporting cybersecurity state and distinguishing expected from degraded state, which is useful for benign monitoring and avoiding unnecessary action."
iot-v2-004|1,iot-v2-004,Spoofing,1,NIST.SP.800-213A-0037,direct,direct,"This passage directly addresses Spoofing by recommending strong authentication before device access and remote access, which is an immediately applicable control against unauthorized impersonation."
iot-v2-004|2,iot-v2-004,Spoofing,2,NIST.IR.8259A-0018,direct,direct,This passage is directly useful for Spoofing because it recommends restricting network interfaces to authorized entities through device/user authentication and limiting unnecessary interfaces.
iot-v2-004|3,iot-v2-004,Spoofing,3,NIST.SP.800-213A-0038,direct,direct,"This passage directly relates to Spoofing by discussing authentication information, federated authentication, and authentication/identification requirements for device access."
iot-v2-005|1,iot-v2-005,BruteForce,1,ETSI.EN.303.645.V3.1.3-0034,direct,direct,"This excerpt directly helps assess BruteForce risk by recommending a simple mechanism to change the authentication value, which is an immediate mitigation for guessed or compromised passwords/PINs."
iot-v2-005|2,iot-v2-005,BruteForce,2,ETSI.EN.303.645.V3.1.3-0060,supporting,supporting,"This excerpt is relevant to BruteForce because it discusses authentication values and one-time passwords, but it mainly provides general authentication/confidentiality guidance rather than a specific BruteForce control."
iot-v2-005|3,iot-v2-005,BruteForce,3,NIST.IR.8259A-0018,direct,direct,"This excerpt directly addresses BruteForce mitigation by recommending account lock or delayed authentication attempts after too many failed logins, which limits repeated guessing attempts."
iot-v2-006|1,iot-v2-006,BruteForce,1,ETSI.EN.303.645.V3.1.3-0034,direct,direct,"This excerpt directly helps mitigate BruteForce by describing a simple mechanism to change the authentication value used, reducing the impact of guessed or exposed credentials."
iot-v2-006|2,iot-v2-006,BruteForce,2,ETSI.EN.303.645.V3.1.3-0060,supporting,supporting,"This excerpt is only indirectly useful for BruteForce because it covers authentication mechanisms and secure handling of credentials, but it does not specifically address repeated guessing or rate-limiting."
iot-v2-006|3,iot-v2-006,BruteForce,3,NIST.IR.8259A-0018,direct,direct,"This excerpt directly supports BruteForce defenses by recommending lockout or delay thresholds after too many failed authentication attempts, which is a standard anti-guessing control."
iot-v2-009|1,iot-v2-009,DDoS,1,RFC8576-0012,direct,direct,It explicitly describes compromised IoT systems being used at scale to perform a Distributed Denial of Service (DDoS) attack.
iot-v2-009|2,iot-v2-009,DDoS,2,RFC8576-0021,direct,direct,"It directly discusses DoS and DDoS in IoT, including flooding and using compromised things to disrupt other networks, which is directly relevant to DDoS."
iot-v2-009|3,iot-v2-009,DDoS,3,RFC8576-0044,direct,direct,It gives DoS resistance measures and cookie-based countermeasures that are immediately applicable to mitigating DDoS-style resource exhaustion in IoT.
iot-v2-010|1,iot-v2-010,DDoS,1,RFC8576-0012,direct,direct,It explicitly states that compromised IoT systems can be used to perform a DDoS attack.
iot-v2-010|2,iot-v2-010,DDoS,2,RFC8576-0021,direct,direct,"It directly covers IoT DoS/DDoS conditions like packet flooding and compromised devices being used for DDoS, which is directly relevant to the DDoS family."
iot-v2-010|3,iot-v2-010,DDoS,3,RFC8576-0044,direct,direct,"It provides direct DoS resistance guidance, including anti-exhaustion and cookie-based checks, which are useful controls for mitigating DDoS against IoT systems."
iot-v2-012|1,iot-v2-012,DoS,1,RFC8576-0044,direct,direct,Explicitly addresses DoS resistance and gives a concrete DoS countermeasure (cookie-based return routability checks) for resource-exhaustion attacks.
iot-v2-012|2,iot-v2-012,DoS,2,ETSI.EN.303.645.V3.1.3-0035,direct,direct,Directly mentions resource exhaustion and denial-of-service attacks and says consumer IoT devices should detect and defend against them.
iot-v2-012|3,iot-v2-012,DoS,3,RFC8576-0020,direct,direct,Explicitly defines a DoS attack in IoT as resource exhaustion by continuous requests against constrained devices.
iot-v2-013|1,iot-v2-013,DoS,1,RFC8576-0044,direct,direct,Explicitly addresses DoS resistance and provides an applicable anti-DoS mechanism for resource-exhaustion attacks.
iot-v2-013|2,iot-v2-013,DoS,2,ETSI.EN.303.645.V3.1.3-0035,direct,direct,Directly references denial-of-service and resource-exhaustion attacks and recommends that consumer IoT devices detect and defend against them.
iot-v2-013|3,iot-v2-013,DoS,3,RFC8576-0020,direct,direct,Explicitly describes the DoS family as resource exhaustion from repeated requests against constrained IoT devices.
iot-v2-017|1,iot-v2-017,Mirai,1,NIST.IR.8259A-0018,direct,direct,"For Mirai, restricting access to local/network interfaces and disabling unnecessary interfaces is directly applicable because Mirai commonly abuses exposed services and weakly protected interfaces on IoT devices."
iot-v2-017|2,iot-v2-017,Mirai,2,NIST.SP.800-213A-0129,supporting,supporting,"For Mirai, malicious code protection and guidance on detecting/eradicating malware is useful security context, but this excerpt is not specifically about Mirai infection vectors or Mirai-specific mitigation."
iot-v2-017|3,iot-v2-017,Mirai,3,NIST.SP.800-213A-0048,direct,direct,"For Mirai, the ability to disable unnecessary interfaces, prevent external access to management interfaces, and restrict services is directly relevant to reducing the exposed attack surface Mirai typically targets."
iot-v2-018|1,iot-v2-018,Mirai,1,NIST.IR.8259A-0018,direct,direct,"For Mirai, restricting access to interfaces and disabling unnecessary network services is directly useful because Mirai attacks commonly rely on exposed device interfaces and services."
iot-v2-018|2,iot-v2-018,Mirai,2,NIST.SP.800-213A-0129,supporting,supporting,"For Mirai, advice on malicious code protection and awareness of malware threats is helpful background, but it does not directly address Mirai-specific assessment or mitigation."
iot-v2-018|3,iot-v2-018,Mirai,3,NIST.SP.800-213A-0048,direct,direct,"For Mirai, preventing external access to management interfaces and restricting use of device services are directly applicable controls for limiting the exposed entry points Mirai exploits."
iot-v2-020|1,iot-v2-020,Spoofing,1,NIST.SP.800-213A-0037,direct,direct,"This passage directly addresses Spoofing with authentication requirements for connecting to the IoT device and remote access, which mitigates impersonation of legitimate users or devices."
iot-v2-020|2,iot-v2-020,Spoofing,2,NIST.IR.8259A-0018,direct,direct,This passage is directly applicable to Spoofing because it restricts access to interfaces to authorized entities and supports authentication controls that help prevent unauthorized identity spoofing.
iot-v2-020|3,iot-v2-020,Spoofing,3,NIST.SP.800-213A-0038,direct,direct,This passage directly supports Spoofing defenses by covering authentication/identification requirements and federated authentication technologies relevant to verifying identities.
iot-v2-021|1,iot-v2-021,Recon,1,NIST.SP.800-61r3-0055,direct,direct,"This directly supports mitigating Recon by recommending continuous monitoring for unauthorized activity, deviations, and use of cyber threat information, which helps detect reconnaissance behavior."
iot-v2-021|2,iot-v2-021,Recon,2,NIST.SP.800-213-0058,supporting,supporting,"This provides Recon context by noting that IoT devices may be less subject to medium- to long-term reconnaissance due to limited accessibility, but it does not give a control or detection method."
iot-v2-021|3,iot-v2-021,Recon,3,NIST.SP.800-61r3-0056,direct,direct,"This is directly useful for Recon because it calls for monitoring anomalous user activity, authentication and logical access attempts, and use of deception technology, all of which can help detect reconnaissance."
iot-v2-022|1,iot-v2-022,Recon,1,NIST.SP.800-61r3-0055,direct,direct,"This directly supports mitigating Recon by describing continuous monitoring for anomalies and unauthorized activity across networks, devices, and personnel, which is applicable to detecting reconnaissance attempts."
iot-v2-022|2,iot-v2-022,Recon,2,NIST.SP.800-213-0058,supporting,supporting,"This excerpt is Recon-relevant background because it discusses threat sources such as attackers aiming for medium- to long-term reconnaissance, but it is not itself a mitigation or detection control."
iot-v2-022|3,iot-v2-022,Recon,3,NIST.SP.800-61r3-0056,direct,direct,"This directly helps assess Recon because monitoring anomalous user activity, authentication attempts, and deception technology can expose reconnaissance-related probing and access pattern discovery."
iot-v2-029|1,iot-v2-029,Web,1,ETSI.EN.303.645.V3.1.3-0078,direct,direct,"This excerpt explicitly addresses the Web family by describing input validation for user interfaces and even gives an SQL injection example, which is an immediately applicable control against web input attacks."
iot-v2-029|2,iot-v2-029,Web,2,ETSI.EN.303.645.V3.1.3-0079,direct,direct,"This excerpt is directly relevant to the Web family because it covers validating data received via network interfaces and network accessible APIs, which is a core mitigation for web-facing input attacks."
iot-v2-029|3,iot-v2-029,Web,3,RFC8576-0030,irrelevant,supporting,"This provides general IoT application-layer/API standards context, which can help frame Web attack surfaces, but it does not directly discuss web attacks or a concrete control for the Web family."
iot-v2-030|1,iot-v2-030,Web,1,ETSI.EN.303.645.V3.1.3-0078,direct,direct,"This excerpt explicitly addresses the Web family through input validation on user interfaces and mentions SQL injection mitigation, making it directly useful for assessing or mitigating web attacks."
iot-v2-030|2,iot-v2-030,Web,2,ETSI.EN.303.645.V3.1.3-0079,direct,direct,"This excerpt is directly applicable to the Web family because it requires validation of data over network interfaces and APIs, a primary control for web-exposed input handling flaws."
