audit_id,support_label_direct_general_unsupported,action_appropriate_yes_no_unclear,reviewer_note
EVID-0044,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0064,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0114,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0052,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0059,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0012,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0022,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0066,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0073,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0026,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0037,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0001,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0088,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0081,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0101,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0127,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0074,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0021,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0128,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0017,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0031,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0083,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0075,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0096,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0105,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0123,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0104,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0029,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0071,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0078,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0010,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0103,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0013,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0002,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0068,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0028,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0065,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0049,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0030,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0062,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0041,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0040,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0107,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0094,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0016,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0112,unsupported,yes,"No evidence was cited to support this action."
EVID-0108,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0032,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0038,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0025,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0005,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0018,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0077,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0097,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0086,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0113,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0125,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0070,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0048,unsupported,no,"Notifying operators for benign traffic is inappropriate and unsupported by the citations."
EVID-0056,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0057,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0047,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0046,general,unclear,"Capturing traffic for benign events is of unclear value and only generally supported."
EVID-0087,general,yes,"Capturing traffic aids investigation and is generally supported by incident response standards."
EVID-0033,general,yes,"The action is suitable for the threat and loosely supported by network defense principles."
EVID-0003,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
EVID-0007,general,yes,"Operator notification is appropriate for this alert and aligns with general security guidance."
EVID-0116,general,yes,"Monitoring and logging are safe actions well-supported by general continuous monitoring standards."
