audit_id,appropriate_1_to_5,conservative_1_to_5,useful_1_to_5,unsafe_or_incompatible,reviewer_note
PLAN-0001,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0002,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0003,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0004,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0005,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0006,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0007,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0008,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0009,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0010,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0011,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0012,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0013,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0014,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0015,4,5,4,no,"Logging provides visibility without disrupting potential false positives."
PLAN-0016,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0017,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0018,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0019,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0020,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0021,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0022,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0023,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0024,4,4,5,no,"Traffic capture is a safe escalation for uncertain benign alerts."
PLAN-0025,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0026,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0027,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0028,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0029,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0030,4,4,5,no,"Capturing traffic is suitable for low-confidence web or recon alerts."
PLAN-0031,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0032,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0033,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0034,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0035,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0036,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0037,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0038,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0039,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0040,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0041,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0042,5,5,4,no,"Appropriate baseline for high-confidence benign traffic."
PLAN-0043,4,5,4,no,"Logging provides safe visibility into the incident."
PLAN-0044,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0045,4,5,4,no,"Logging provides safe visibility into the incident."
PLAN-0046,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0047,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0048,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0049,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0050,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0051,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0052,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0053,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0054,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0055,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0056,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0057,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0058,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0059,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0060,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0061,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0062,4,5,4,no,"Logging provides safe visibility into the incident."
PLAN-0063,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0064,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0065,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0066,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0067,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0068,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0069,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0070,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0071,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0072,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0073,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0074,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0075,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0076,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0077,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0078,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0079,3,4,3,no,"Capture is safe but lacks active mitigation for a high-confidence attack."
PLAN-0080,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0081,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0082,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0083,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0084,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0085,4,5,4,no,"Logging provides safe visibility into the incident."
PLAN-0086,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0087,5,3,5,no,"Rate limiting is an effective mitigation for high-confidence volume attacks."
PLAN-0088,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0089,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
PLAN-0090,4,4,5,no,"Capture is an appropriate first step for lower-confidence attack warnings."
