audit_id,predicted_family,action,rationale,cited_evidence,human_label,human_reason
EB-001,Spoofing,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,"[{""chunk_id"": ""NIST.SP.800-61r3-0067"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""sing chain-of-custody procedures might not be performed for every incident that occurs (e.g., most malware incidents will not result in prosecution). However, collected incident data is still considered evidence, which is defined as \u201cgrounds for belief or disbelief; data on which to base proof or to establish truth or falsehood\u201d [SP800-160v1]. R1: Collect and retain evidence from an incident in accordance with the organization\u2019s evidence preservation procedures and data retention policies, and consider factors such as the possibility of prosecution, and the cost of retaining the data and the hardware and software needed to access the data ...""}, {""chunk_id"": ""NIST.SP.800-61r3-0065"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""ed. R2: Take the possible operational disruption of incident recovery activities into account to determine when recovery should be initiated. RS.AN (Incident Analysis) Investigations are conducted to ensure effective response and support forensics and recovery activities High N1: The Incident Analysis Category focuses on investigating, determining, and documenting what has happened during an incident, as well as how and why it happened. RS.AN-03 Analysis is performed to establish what has taken place during an incident and the root cause of the incident High R1: Determine the sequence of events that have occurred during the incident and wh...""}]",,
EB-002,Spoofing,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,"[{""chunk_id"": ""NIST.SP.800-61r3-0069"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""n place in advance to coordinate with affected parties about incidents when needed. RS.CO-02 Internal and external stakeholders are notified of incidents High R1: When an incident is analyzed and prioritized, the incident response team should coordinate with the appropriate individuals inside and outside of the organization so that all who need to be involved will play their roles. R2: Follow established procedures concerning incident coordination that include what must be reported to whom and at what times (e.g., initial notification, regular status updates). R3: Perform notifications in compliance with the current incident notification- ...""}, {""chunk_id"": ""NIST.SP.800-61r3-0068"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""performing it in a superficial way may cause underestimation of the incident\u2019s magnitude, thus allowing the incident to continue indefinitely on other targets without the organization\u2019s knowledge or monitoring. RS.CO (Incident Response Reporting and Communication) Response activities are coordinated with internal and external stakeholders, as required by laws, regulations, or policies High N1: Incident response reporting and communication activities tend to fall into four categories. Incident coordination involves communicating current and planned incident response activities for a particular incident among the internal and external partie...""}]",,
EB-003,DDoS,RATE_LIMIT,Reduce immediate flood impact while preserving some telemetry for analysis.,"[{""chunk_id"": ""RFC8576-0044"", ""source"": ""RFC8576.txt"", ""excerpt"": ""protocol cannot be made without tailor-made IoT implementations. 5.1.2. Denial-of-Service Resistance The tight memory and processing constraints of things naturally alleviate resource-exhaustion attacks. Especially in unattended T2T communication, such attacks are difficult to notice before the service becomes unavailable (for example, because of battery or memory exhaustion). As a DoS countermeasure, DTLS, IKEv2, HIP, and Diet HIP implement return routability checks based on a cookie mechanism to delay the establishment of state at the responding host until the address of the initiating host is verified. The effectiveness of these defense...""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0035"", ""source"": ""ETSI.EN.303.645.V3.1.3.pdf"", ""excerpt"": ""...credential stuffing\"" or exhaust an entire key-space. It is important that these types of attacks are detected by the consumer IoT device and defended against, whilst guarding against a related threat of \""resource exhaustion\"" and denial of service attacks. 5.2 Implement a means to manage reports of vulnerabilities Manufacturers that provide IoT products have a duty of care to consumers and third parties who can be harmed by their failure to have a CVD programme in place. Additionally, companies that share this information through industry bodies can assist others who can be suffering from the same problem. Disclosures can comprise differ...""}]",,
EB-004,DDoS,CAPTURE_TRAFFIC,Collect packet evidence to confirm attack characteristics and support triage.,"[{""chunk_id"": ""NIST.SP.800-61r3-0067"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""sing chain-of-custody procedures might not be performed for every incident that occurs (e.g., most malware incidents will not result in prosecution). However, collected incident data is still considered evidence, which is defined as \u201cgrounds for belief or disbelief; data on which to base proof or to establish truth or falsehood\u201d [SP800-160v1]. R1: Collect and retain evidence from an incident in accordance with the organization\u2019s evidence preservation procedures and data retention policies, and consider factors such as the possibility of prosecution, and the cost of retaining the data and the hardware and software needed to access the data ...""}, {""chunk_id"": ""RFC8576-0064"", ""source"": ""RFC8576.txt"", ""excerpt"": ""ation. The network can then retrieve those files and learn about the intended behavior of the devices stated by the device manufacturer. A network-monitoring service could then warn the user/ owner of devices if they don't behave as expected. Many devices and software services that automatically learn and monitor the behavior of different IoT devices in a given network are commercially available. Such monitoring devices/services can be configured by the user to limit network traffic and trigger alarms when unexpected operation of IoT devices is detected. 5.7. Testing: Bug Hunting and Vulnerabilities Given that IoT devices often have inadve...""}]",,
EB-005,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but device identity is not validated.,"[{""chunk_id"": ""NIST.SP.800-61r3-0069"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""n place in advance to coordinate with affected parties about incidents when needed. RS.CO-02 Internal and external stakeholders are notified of incidents High R1: When an incident is analyzed and prioritized, the incident response team should coordinate with the appropriate individuals inside and outside of the organization so that all who need to be involved will play their roles. R2: Follow established procedures concerning incident coordination that include what must be reported to whom and at what times (e.g., initial notification, regular status updates). R3: Perform notifications in compliance with the current incident notification- ...""}, {""chunk_id"": ""NIST.SP.800-61r3-0063"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""...ion. RS.MA-03 Incidents are categorized and prioritized High R1: Perform a more detailed review of incidents to help categorize them by incident type (e.g., data breach, ransomware, account takeover, denial of service). NIST SP 800-61r3 Incident Response Recommendations and April 2025 Considerations for Cyber Risk Management 28 CSF Element CSF Element Description Priority Recommendations, Considerations, Notes R2: Prioritize how quickly incident response should be performed for each incident based on its scope, likely impact, time- critical nature, and resource availability. R3: Select incident response strategies for active incidents by b""}]",,
EB-006,BruteForce,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,"[{""chunk_id"": ""NIST.SP.800-61r3-0067"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""sing chain-of-custody procedures might not be performed for every incident that occurs (e.g., most malware incidents will not result in prosecution). However, collected incident data is still considered evidence, which is defined as \u201cgrounds for belief or disbelief; data on which to base proof or to establish truth or falsehood\u201d [SP800-160v1]. R1: Collect and retain evidence from an incident in accordance with the organization\u2019s evidence preservation procedures and data retention policies, and consider factors such as the possibility of prosecution, and the cost of retaining the data and the hardware and software needed to access the data ...""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0034"", ""source"": ""ETSI.EN.303.645.V3.1.3.pdf"", ""excerpt"": ""device shall provide to the user or an administrator a simple mechanism to change the authentication value used. EXAMPLE 3: For biometric authentication values the device manufacturer allows this change in authentication value through retraining against a new biometric. EXAMPLE 4: A parent in a household creates an account on the consumer IoT device for their child and selects and manages the PIN or password that the child uses. The parent is an administrator on the consumer IoT device and can restrict the child from changing the PIN or password. EXAMPLE 5: To make it simple for the user to change a password, the manufacturer designs the p...""}]",,
EB-007,BruteForce,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,"[{""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0034"", ""source"": ""ETSI.EN.303.645.V3.1.3.pdf"", ""excerpt"": ""device shall provide to the user or an administrator a simple mechanism to change the authentication value used. EXAMPLE 3: For biometric authentication values the device manufacturer allows this change in authentication value through retraining against a new biometric. EXAMPLE 4: A parent in a household creates an account on the consumer IoT device for their child and selects and manages the PIN or password that the child uses. The parent is an administrator on the consumer IoT device and can restrict the child from changing the PIN or password. EXAMPLE 5: To make it simple for the user to change a password, the manufacturer designs the p...""}, {""chunk_id"": ""NIST.SP.800-61r3-0069"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""...locations, and any other characteristics that apply to the organization. Incident notification is an evolving topic, and new laws and regulations are being established frequently. NIST SP 800-61r3 Incident Response Recommendations and April 2025 Considerations for Cyber Risk Management 31 CSF Element CSF Element Description Priority Recommendations, Considerations, Notes R4: Notify affected third parties of data breaches and other cybersecurity incidents in accordance with regulatory, legal, and contractual requirements. R5: Notify law enforcement agencies and regulatory bodies of incidents based on criteria in the incident response plan a""}]",,
EB-008,Benign,NO_ACTION,The detector classified the observation as benign.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""..., find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring to help ident...""}, {""chunk_id"": ""NIST.SP.800-213A-0053"", ""source"": ""NIST.SP.800-213A.pdf"", ""excerpt"": ""...uirements that may be necessary: 1. Ability to access information about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations\u2019 control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the m...""}]",,
EB-009,Benign,MONITOR,Continue non-disruptive observation.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""The Detect Function encompasses all of the monitoring and analysis activities performed to find and characterize potentially adverse events and, in turn, find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity...""}, {""chunk_id"": ""NIST.SP.800-213A-0053"", ""source"": ""NIST.SP.800-213A.pdf"", ""excerpt"": ""...formation about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations\u2019 control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the monitoring (e.g., events or channels of interest) may be rel""}]",,
EB-010,Benign,NO_ACTION,The detector classified the observation as benign.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""source"": ""NIST.SP.800-61r3.pdf"", ""excerpt"": ""..., find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring to help ident...""}, {""chunk_id"": ""NIST.SP.800-213A-0053"", ""source"": ""NIST.SP.800-213A.pdf"", ""excerpt"": ""...uirements that may be necessary: 1. Ability to access information about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations\u2019 control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the m...""}]",,
