item_id,case_id,predicted_family,rank,source,chunk_id,excerpt
iot-v2-001|1,iot-v2-001,Benign,1,NIST.SP.800-61r3.pdf,NIST.SP.800-61r3-0055,"..., find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring to help ident..."
iot-v2-001|2,iot-v2-001,Benign,2,NIST.SP.800-213A.pdf,NIST.SP.800-213A-0053,"...uirements that may be necessary: 1. Ability to access information about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations’ control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the m..."
iot-v2-001|3,iot-v2-001,Benign,3,NIST.IR.8259A.pdf,NIST.IR.8259A-0022,ITY CORE BASELINE 10 This publication is available free of charge from: https://doi.org/10.6028/NIST.IR.8259A Device Cybersecurity Capability Common Elements Rationale IoT Reference Examples Cybersecurity State Awareness: The IoT device can report on its cybersecurity state and make that information accessible to authorized entities only. 1. The ability to report the device’s cybersecurity state 2. The ability to differentiate between when a device will likely operate as expected from when it may be in a degraded cybersecurity state 3. The ability to restrict access to the state indicator so only authorized entities can view it 4. The abil...
iot-v2-002|1,iot-v2-002,Benign,1,NIST.SP.800-61r3.pdf,NIST.SP.800-61r3-0055,"..., find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring to help ident..."
iot-v2-002|2,iot-v2-002,Benign,2,NIST.SP.800-213A.pdf,NIST.SP.800-213A-0053,"...uirements that may be necessary: 1. Ability to access information about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations’ control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the m..."
iot-v2-002|3,iot-v2-002,Benign,3,NIST.IR.8259A.pdf,NIST.IR.8259A-0022,ITY CORE BASELINE 10 This publication is available free of charge from: https://doi.org/10.6028/NIST.IR.8259A Device Cybersecurity Capability Common Elements Rationale IoT Reference Examples Cybersecurity State Awareness: The IoT device can report on its cybersecurity state and make that information accessible to authorized entities only. 1. The ability to report the device’s cybersecurity state 2. The ability to differentiate between when a device will likely operate as expected from when it may be in a degraded cybersecurity state 3. The ability to restrict access to the state indicator so only authorized entities can view it 4. The abil...
iot-v2-004|1,iot-v2-004,Spoofing,1,NIST.SP.800-213A.pdf,NIST.SP.800-213A-0037,"...ort authentication methods. Discussion: To control logical access to interfaces, the IoT device may need to support adequate authentication methods. Some IoT devices or organizations may need support for Personal Identity Verification (PIV). More information about PIV can be found in FIPS 201-2 [ FIPS-201]. Related SP 800-53 Rev. 5 Controls: AC-17(10), IA-2, IA-2(1), IA-2(2), IA-6 Requirements that may be necessary: 1. Ability for the IoT device to require authentication prior to connecting to the device, including using remote access. 2. Ability for the IoT device to support and require appropriate authentication. 3. Ability for the Io..."
iot-v2-004|2,iot-v2-004,Spoofing,2,NIST.IR.8259A.pdf,NIST.IR.8259A-0018,"...ble any local and network interfaces that are not necessary for the core functionality of the device 2. The ability to logically restrict access to each network interface to only authorized entities (e.g., device authentication, user authentication) 3. Configuration settings for use with the Device Configuration capability including, but not limited to, the ability to enable, disable, and adjust thresholds for any ability the device might have to lock or disable an account or to delay additional authentication attempts after too many failed authentication attempts • This capability supports vulnerability management, access management, d..."
iot-v2-004|3,iot-v2-004,Spoofing,3,NIST.SP.800-213A.pdf,NIST.SP.800-213A-0038,"... Ability for the IoT device to hide or mask authentication information during authentication process. NIST SP 800-213A GUIDANCE FOR THE FEDERAL GOVERNMENT IOT DEVICE CYBERSECURITY REQUIREMENT CATALOG LA - LOGICAL ACCESS TO INTERFACES 21 This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-213A 5. Ability to use federated authentication technologies (e.g., SAML, OAuth2, or Active Directory/Azure Active Directory). (ACF) Authentication Configuration Description: Ability to require, or not require, authentication to, and/or identification of, the IoT device, and to establish authentication and identificati..."
iot-v2-005|1,iot-v2-005,BruteForce,1,ETSI.EN.303.645.V3.1.3.pdf,ETSI.EN.303.645.V3.1.3-0034,"device shall provide to the user or an administrator a simple mechanism to change the authentication value used. EXAMPLE 3: For biometric authentication values the device manufacturer allows this change in authentication value through retraining against a new biometric. EXAMPLE 4: A parent in a household creates an account on the consumer IoT device for their child and selects and manages the PIN or password that the child uses. The parent is an administrator on the consumer IoT device and can restrict the child from changing the PIN or password. EXAMPLE 5: To make it simple for the user to change a password, the manufacturer designs the p..."
