item_id,case_id,predicted_family,rank,chunk_id,first_label,second_label,second_reason
iot-001|1,iot-001,Benign,1,NIST.SP.800-61r3-0055,direct,irrelevant,"The case is predicted benign, and this passage is generic continuous monitoring guidance rather than about assessing or mitigating a specific IoT attack family."
iot-001|2,iot-001,Benign,2,NIST.IR.8259A-0022,direct,irrelevant,"Describes a general IoT cybersecurity state-awareness capability, which is useful broadly but not tied to any attack family in this benign case."
iot-001|3,iot-001,Benign,3,NIST.SP.800-213A-0053,direct,irrelevant,"Provides general logging and cybersecurity state awareness guidance, not material to a benign predicted family or a specific IoT attack."
iot-002|1,iot-002,Benign,1,NIST.SP.800-61r3-0055,direct,irrelevant,Generic monitoring/incident-detection guidance; not specific to a threat family and the case is predicted benign.
iot-002|2,iot-002,Benign,2,NIST.IR.8259A-0022,direct,irrelevant,"Broad IoT cybersecurity state-awareness capability, useful context but not threat-specific."
iot-002|3,iot-002,Benign,3,NIST.SP.800-213A-0053,direct,irrelevant,General access-to-event-information and logging guidance; not directly relevant to a specific attack family.
iot-004|1,iot-004,Spoofing,1,NIST.SP.800-213A-0037,direct,direct,"Explicitly addresses limiting interface access and requiring authentication, which is directly applicable to mitigating spoofing attacks on IoT devices."
iot-004|2,iot-004,Spoofing,2,NIST.IR.8259A-0018,direct,direct,"Directly describes restricting logical access to interfaces to authorized entities only, an immediate control against spoofing."
iot-004|3,iot-004,Spoofing,3,NIST.SP.800-213A-0038,direct,direct,"Discusses requiring appropriate authentication and multi-factor or out-of-band methods, which directly helps prevent spoofing."
iot-005|1,iot-005,BruteForce,1,ETSI.EN.303.645.V3.1.3-0034,direct,direct,"Provides guidance on changing authentication values/passwords, which is directly relevant to mitigating brute-force attacks against credentials."
iot-005|2,iot-005,BruteForce,2,ETSI.EN.303.645.V3.1.3-0060,supporting,direct,"States security-relevant network configuration changes require authentication, including password changes, directly supporting brute-force mitigation."
iot-005|3,iot-005,BruteForce,3,NIST.IR.8259A-0018,supporting,direct,Restricting logical access to interfaces to authorized entities directly reduces brute-force exposure on IoT login surfaces.
iot-006|1,iot-006,BruteForce,1,ETSI.EN.303.645.V3.1.3-0034,direct,direct,Same password/authentication-value change guidance directly supports brute-force mitigation by enabling credential hardening and rotation.
iot-006|2,iot-006,BruteForce,2,ETSI.EN.303.645.V3.1.3-0060,supporting,direct,"Requires authentication for security-relevant changes including password changes, directly relevant to brute-force defense."
iot-006|3,iot-006,BruteForce,3,NIST.IR.8259A-0018,supporting,direct,Restricting access to interfaces to authorized entities is directly applicable to reducing brute-force attack surface.
iot-008|1,iot-008,Spoofing,1,NIST.SP.800-213A-0037,direct,direct,"Explicitly addresses limiting interface access and requiring authentication, which directly mitigates spoofing attacks."
iot-008|2,iot-008,Spoofing,2,NIST.IR.8259A-0018,direct,direct,"Explicitly addresses restricting logical access to IoT interfaces and services to authorized entities, which is a direct anti-spoofing control."
iot-008|3,iot-008,Spoofing,3,NIST.SP.800-213A-0038,direct,direct,"Describes appropriate authentication, second-factor/out-of-band methods, and masking authentication info; these are directly relevant controls for mitigating spoofing."
iot-009|1,iot-009,DDoS,1,RFC8576-0012,direct,direct,"Explicitly mentions compromised IoT systems being misused at scale to perform DDoS attacks, directly matching the predicted family."
