audit_id,case_id,action_index,predicted_family,action,rationale,label,reason
EB-001,iot-v2-027,1,Spoofing,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The excerpts support collecting and retaining incident evidence and conducting investigations, which aligns with gathering more evidence before a disruptive decision. They do not specifically mention traffic capture."
EB-002,iot-v2-027,2,Spoofing,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,directly_supported,The excerpts explicitly say internal and external stakeholders are notified of incidents and that incident coordination includes initial notification and status updates.
EB-003,iot-v2-010,1,DDoS,RATE_LIMIT,Reduce immediate flood impact while preserving some telemetry for analysis.,unsupported,"The excerpts discuss DoS resistance and evidence of resource exhaustion, but do not explicitly support rate limiting as the recommended action or mechanism."
EB-004,iot-v2-010,2,DDoS,CAPTURE_TRAFFIC,Collect packet evidence to confirm attack characteristics and support triage.,generally_supported,"The evidence supports collecting and retaining incident evidence and monitoring traffic for unexpected behavior, which aligns with traffic capture for triage, but it does not explicitly recommend packet capture."
EB-005,iot-v2-010,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but device identity is not validated.,generally_supported,"The excerpts support notifying stakeholders of incidents and performing notifications after analysis/prioritization, but they do not specifically justify operator notification because device identity is unvalidated."
EB-006,iot-v2-007,1,BruteForce,CAPTURE_TRAFFIC,Collect additional evidence before a disruptive decision.,generally_supported,"The NIST excerpt supports collecting and retaining incident evidence, but not the specific action of CAPTURE_TRAFFIC. The ETSI excerpt is unrelated to evidence collection."
EB-007,iot-v2-007,2,BruteForce,NOTIFY_OPERATOR,Detector confidence is below the validated threshold.,generally_supported,"The NIST excerpt supports notifying third parties or law enforcement under incident-response criteria, which is related to notification, but it does not specifically justify notifying an operator because detector confidence is below threshold."
EB-008,iot-v2-028,1,Benign,NO_ACTION,The detector classified the observation as benign.,unsupported,"The excerpts discuss continuous monitoring and event identification capabilities, but they do not support the specific action NO_ACTION for a benign classification."
EB-009,iot-v2-028,2,Benign,MONITOR,Continue non-disruptive observation.,generally_supported,"The excerpts support continuous monitoring as a security practice, which aligns with the objective of monitoring, but they do not specifically justify the recommended MONITOR action as a decision for a benign observation."
EB-010,iot-v2-008,1,Benign,NO_ACTION,The detector classified the observation as benign.,unsupported,The cited excerpts only discuss monitoring for adverse events and IoT support for monitoring; they do not justify NO_ACTION.
EB-011,iot-v2-008,2,Benign,MONITOR,Continue non-disruptive observation.,generally_supported,"The excerpts support monitoring and continuous observation of devices, which is consistent with the MONITOR action, though not a direct directive to take that action in this benign case."
EB-012,iot-v2-029,1,Web,RATE_LIMIT,Applied the predefined bounded policy default.,unsupported,"The excerpts support validating unexpected input to prevent manipulation/failure, not rate limiting. No evidence of throttling or bounded-policy default is present."
EB-013,iot-v2-029,2,Web,INCREASE_LOGGING,Applied the predefined bounded policy default.,unsupported,"The excerpts discuss input validation and capturing telemetry for out-of-range data, but do not support increasing logging as a recommended action."
EB-014,iot-v2-029,3,Web,NOTIFY_OPERATOR,Applied the predefined bounded policy default.,unsupported,"The excerpts mention notifications in general and input validation, but nothing about notifying an operator in response to this threat."
EB-015,iot-v2-025,1,Spoofing,INCREASE_LOGGING,Increase visibility to support triage and confirm whether the traffic pattern aligns with spoofed or unauthorized access attempts.,generally_supported,"The evidence supports event identification, monitoring, and preserving system state information, which fits increasing visibility for triage. It does not explicitly recommend increasing logging."
EB-016,iot-v2-025,2,Spoofing,CAPTURE_TRAFFIC,Collect packet evidence for offline validation of spoofing indicators and to distinguish benign TLS activity from impersonation or replay behavior.,directly_supported,"The excerpts explicitly instruct to collect and retain incident evidence and discuss investigations that determine what happened, which directly supports capturing traffic as evidence for offline validation."
EB-017,iot-v2-025,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because the alert is high confidence but lacks a validated device identifier and is mitigation intent only.,directly_supported,"The excerpts explicitly support notifying stakeholders of incidents and following established notification procedures, which directly supports operator notification."
EB-018,iot-v2-032,1,Spoofing,RESTRICT_EGRESS,Limit potential unauthorized communication while preserving bounded operation.,unsupported,"The evidence is about restricting network interfaces and access control generally, and MUD policy access decisions, but it does not explicitly support restricting egress as a spoofing response action."
