audit_id,predicted_family,action,rationale,cited_evidence,support_label_direct_general_unsupported,action_appropriate_yes_no_unclear,reviewer_note
EVID-0044,DoS,NOTIFY_OPERATOR,The alert is high-confidence and operationally significant; human review is warranted because the alert lacks a validated device identifier.,"[{""chunk_id"": ""RFC8576-0044"", ""excerpt"": ""protocol cannot be made without tailor-made IoT implementations. 5.1.2. Denial-of-Service Resistance The tight memory and processing constraints of things naturally alleviate resource-exhaustion attacks. Especially in unattended T2T communication, such attacks are difficult to notice before the service becomes unavailable (for example, because of battery or memory exhaustion). As a DoS countermeasure, DTLS, IKEv2, HIP, and Diet HIP implement return routability checks based on a cookie mechanism to delay the establishment of state at the responding host until the address of the initiating host is verified. The effectiveness of these defense..."", ""score"": 0.120832, ""source"": ""docs\\standards\\RFC8576.txt""}, {""chunk_id"": ""RFC8576-0020"", ""excerpt"": ""...on of privilege: An attacker with low privileges can misuse additional flaws in the implemented authentication and authorization mechanisms of a thing to gain more privileged access to the thing and its data. 11. Denial of Service (DoS) attack: Often things have very limited memory and computation capabilities. Therefore, they are vulnerable to resource-exhaustion attack. Attackers can continuously send requests to specific things so as to deplete their resources. This is especially dangerous in the Internet of Things since an attacker might be located in the backend and target resource-constrained devices that are part of a constrained-no"", ""score"": 0.100946, ""source"": ""docs\\standards\\RFC8576.txt""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0035"", ""excerpt"": ""...credential stuffing\"" or exhaust an entire key-space. It is important that these types of attacks are detected by the consumer IoT device and defended against, whilst guarding against a related threat of \""resource exhaustion\"" and denial of service attacks. 5.2 Implement a means to manage reports of vulnerabilities Manufacturers that provide IoT products have a duty of care to consumers and third parties who can be harmed by their failure to have a CVD programme in place. Additionally, companies that share this information through industry bodies can assist others who can be suffering from the same problem. Disclosures can comprise differ..."", ""score"": 0.103854, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}]",general,yes,DoS passages establish the threat but do not support operator notification.
EVID-0064,DDoS,NOTIFY_OPERATOR,"Routing decision is escalate, and human review is appropriate given the confidence is just below threshold.","[{""chunk_id"": ""RFC8576-0012"", ""excerpt"": ""...m goes beyond a specific device or an isolated system, since compromised IoT systems can be misused at scale. For example, they may be used to perform a Distributed Denial of Service (DDoS) attack that limits the availability of other networks and services. The fact that many IoT systems rely on standard IP protocols allows for easier system integration, but this also makes attacks on standard IP protocols widely applicable in other environments. This results in new requirements regarding the implementation of security. The term \""security\"" subsumes a wide range of primitives, protocols, and procedures. For instance, it includes services..."", ""score"": 0.124255, ""source"": ""docs\\standards\\RFC8576.txt""}, {""chunk_id"": ""RFC8576-0021"", ""excerpt"": ""This is especially dangerous in the Internet of Things since an attacker might be located in the backend and target resource-constrained devices that are part of a constrained-node network [RFC7228]. A DoS attack can also be launched by physically jamming the communication channel. Network availability can also be disrupted by flooding the network with a large number of packets. On the other hand, things compromised by attackers can be used to disrupt the operation of other networks or systems by means of a Distributed DoS (DDoS) attack. Garcia-Morchon, et al. Informational [Page 11] RFC 8576 IoT Security April 2019 To deal with the above ..."", ""score"": 0.094757, ""source"": ""docs\\standards\\RFC8576.txt""}, {""chunk_id"": ""RFC8576-0044"", ""excerpt"": ""protocol cannot be made without tailor-made IoT implementations. 5.1.2. Denial-of-Service Resistance The tight memory and processing constraints of things naturally alleviate resource-exhaustion attacks. Especially in unattended T2T communication, such attacks are difficult to notice before the service becomes unavailable (for example, because of battery or memory exhaustion). As a DoS countermeasure, DTLS, IKEv2, HIP, and Diet HIP implement return routability checks based on a cookie mechanism to delay the establishment of state at the responding host until the address of the initiating host is verified. The effectiveness of these defense..."", ""score"": 0.093898, ""source"": ""docs\\standards\\RFC8576.txt""}]",general,yes,DDoS passages establish the threat but do not support operator notification.
EVID-0114,Mirai,NOTIFY_OPERATOR,Human review is warranted because no device identity is validated and the action is mitigation intent only.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""excerpt"": ""... and, in turn, find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring ..."", ""score"": 0.246995, ""source"": ""docs\\standards\\NIST.SP.800-61r3.pdf""}, {""chunk_id"": ""NIST.SP.800-61r3-0056"", ""excerpt"": ""...sful and failed access attempts into all controlled areas, the movement of people and equipment into and out of secure areas of facilities, and signs of tampering with physical access controls. DE.CM-03 Personnel activity and technology usage are monitored to find potentially adverse events High R1: Monitoring personnel activity and technology usage should include anomalous user activity or unusual patterns of activity, authentication and logical access attempts, and the use of deception technology. DE.CM-06 External service provider activities and services are monitored to find potentially adverse events High R1: Monitoring external se..."", ""score"": 0.071032, ""source"": ""docs\\standards\\NIST.SP.800-61r3.pdf""}, {""chunk_id"": ""NIST.SP.800-213-0058"", ""excerpt"": ""...rest of a system might. For example, IoT devices with a short lifespan, limited functionality, or limited accessibility may not be subject to some threat sources (e.g., attackers aiming to do medium- to long-term reconnaissance) or some events (e.g., those that require extended, consistent network access). IoT devices will often have many of the same threat sources and events as the existing information system. There may be a set of unique IoT device threat sources and events as well as some information system threat sources and events that do not apply to the IoT device. In this sense, there are two classes when comparing threat source..."", ""score"": 0.080442, ""source"": ""docs\\standards\\NIST.SP.800-213.pdf""}]",general,yes,Monitoring guidance supports review generally but not operator notification.
EVID-0052,Benign,INCREASE_LOGGING,Collect more evidence to validate whether the profile remains consistent with normal behavior or shows emerging anomalies.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""excerpt"": ""..., find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring to help ident..."", ""score"": 0.23376, ""source"": ""docs\\standards\\NIST.SP.800-61r3.pdf""}, {""chunk_id"": ""NIST.IR.8259A-0022"", ""excerpt"": ""ITY CORE BASELINE 10 This publication is available free of charge from: https://doi.org/10.6028/NIST.IR.8259A Device Cybersecurity Capability Common Elements Rationale IoT Reference Examples Cybersecurity State Awareness: The IoT device can report on its cybersecurity state and make that information accessible to authorized entities only. 1. The ability to report the device\u2019s cybersecurity state 2. The ability to differentiate between when a device will likely operate as expected from when it may be in a degraded cybersecurity state 3. The ability to restrict access to the state indicator so only authorized entities can view it 4. The abil..."", ""score"": 0.164582, ""source"": ""docs\\standards\\NIST.IR.8259A.pdf""}, {""chunk_id"": ""NIST.SP.800-213A-0053"", ""excerpt"": ""...uirements that may be necessary: 1. Ability to access information about the IoT device's cybersecurity state and other necessary data. 2. Ability to preserve system state information. (EIM) Event Identification & Monitoring Description: Ability to provide event identification and monitoring capabilities and/or support event identification and monitoring tools interfacing with the device. Discussion: Monitoring for cybersecurity and other adverse events is a component of many organizations\u2019 control set to enable proactive assessment of cybersecurity posture. IoT devices may have to support this kind of monitoring, and the nature of the m..."", ""score"": 0.163482, ""source"": ""docs\\standards\\NIST.SP.800-213A.pdf""}]",general,yes,Monitoring guidance supports visibility generally but not increased logging specifically.
EVID-0059,Web,CAPTURE_TRAFFIC,Collect additional packet-level evidence because the current CSV features are insufficient to validate device identity or payload intent.,"[{""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0078"", ""excerpt"": ""...13 Validate input data Provision 5.13-1 Void. Provision 5.13-1A Data input at application layer to the device via user interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. EXAMPLE 1: Manipulation of the integrated database via SQL injection over a user interface is mitigated via discarding invalid data input. Systems can be subverted by incorrectly formatted data or code transferred across different types of interface. Automated tools such as fuzzers can be used by attackers or testers to exploit potential gaps and weaknesses that emerge as a result of not validating d..."", ""score"": 0.288012, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0079"", ""excerpt"": ""xploit potential gaps and weaknesses that emerge as a result of not validating data. EXAMPLE 2: The consumer IoT device receives data that is not of the expected type, for example executable code rather than user inputted text. The software on the consumer IoT device has been written so that the input is parameterized or \""escaped\"", preventing this code from being run. Provision 5.13-1B Data input at application layer to the device via network interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. NOTE: This includes network accessible APIs without prior authentication and n..."", ""score"": 0.151799, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}]",general,yes,Input-validation guidance supports web-attack defense but not packet capture.
EVID-0012,DoS,CAPTURE_TRAFFIC,Preserve packet-level evidence to confirm whether the traffic is consistent with a DoS/resource-exhaustion pattern before stronger containment.,"[{""chunk_id"": ""RFC8576-0044"", ""excerpt"": ""protocol cannot be made without tailor-made IoT implementations. 5.1.2. Denial-of-Service Resistance The tight memory and processing constraints of things naturally alleviate resource-exhaustion attacks. Especially in unattended T2T communication, such attacks are difficult to notice before the service becomes unavailable (for example, because of battery or memory exhaustion). As a DoS countermeasure, DTLS, IKEv2, HIP, and Diet HIP implement return routability checks based on a cookie mechanism to delay the establishment of state at the responding host until the address of the initiating host is verified. The effectiveness of these defense..."", ""score"": 0.120832, ""source"": ""docs\\standards\\RFC8576.txt""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0035"", ""excerpt"": ""...credential stuffing\"" or exhaust an entire key-space. It is important that these types of attacks are detected by the consumer IoT device and defended against, whilst guarding against a related threat of \""resource exhaustion\"" and denial of service attacks. 5.2 Implement a means to manage reports of vulnerabilities Manufacturers that provide IoT products have a duty of care to consumers and third parties who can be harmed by their failure to have a CVD programme in place. Additionally, companies that share this information through industry bodies can assist others who can be suffering from the same problem. Disclosures can comprise differ..."", ""score"": 0.103854, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""RFC8576-0020"", ""excerpt"": ""...on of privilege: An attacker with low privileges can misuse additional flaws in the implemented authentication and authorization mechanisms of a thing to gain more privileged access to the thing and its data. 11. Denial of Service (DoS) attack: Often things have very limited memory and computation capabilities. Therefore, they are vulnerable to resource-exhaustion attack. Attackers can continuously send requests to specific things so as to deplete their resources. This is especially dangerous in the Internet of Things since an attacker might be located in the backend and target resource-constrained devices that are part of a constrained-no"", ""score"": 0.100946, ""source"": ""docs\\standards\\RFC8576.txt""}]",general,yes,DoS guidance supports the investigation objective but not packet capture.
EVID-0022,Recon,CAPTURE_TRAFFIC,Preserve packet evidence for offline review and correlation with continuous monitoring guidance.,"[{""chunk_id"": ""NIST.SP.800-61r3-0055"", ""excerpt"": ""... and, in turn, find cybersecurity incidents. DE.CM (Continuous Monitoring) Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events High R1: Continuous monitoring for unauthorized activity, deviations from expected activity, and changes in security posture should involve the following types of assets at all times: networks and network services; computing hardware and software, runtime environments, and their data; the physical environment; personnel activity and technology usage; and external service provider activities. C1: Consider using cyber threat information with continuous monitoring ..."", ""score"": 0.238202, ""source"": ""docs\\standards\\NIST.SP.800-61r3.pdf""}, {""chunk_id"": ""NIST.SP.800-213-0058"", ""excerpt"": ""...rest of a system might. For example, IoT devices with a short lifespan, limited functionality, or limited accessibility may not be subject to some threat sources (e.g., attackers aiming to do medium- to long-term reconnaissance) or some events (e.g., those that require extended, consistent network access). IoT devices will often have many of the same threat sources and events as the existing information system. There may be a set of unique IoT device threat sources and events as well as some information system threat sources and events that do not apply to the IoT device. In this sense, there are two classes when comparing threat source..."", ""score"": 0.079147, ""source"": ""docs\\standards\\NIST.SP.800-213.pdf""}, {""chunk_id"": ""NIST.SP.800-213A-0080"", ""excerpt"": ""...tructions for obtaining that information. NIST SP 800-213A GUIDANCE FOR THE FEDERAL GOVERNMENT IOT DEVICE CYBERSECURITY REQUIREMENT CATALOG DO - DOCUMENTATION 45 This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-213A b. Providing documentation describing the types of monitoring tools with which the IoT device is compatible, and recommendations for how to configure the IoT device to best work with such monitoring tools. 8. Establish communications describing how the IoT device cybersecurity event data is protected from unauthorized access, modification, and deletion. Information that may be necessary ..."", ""score"": 0.069852, ""source"": ""docs\\standards\\NIST.SP.800-213A.pdf""}]",general,yes,Monitoring and recon guidance support investigation but not packet capture.
EVID-0066,Spoofing,CAPTURE_TRAFFIC,Preserve packet-level evidence to distinguish spoofing from benign high-rate encrypted traffic.,"[{""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0078"", ""excerpt"": ""...13 Validate input data Provision 5.13-1 Void. Provision 5.13-1A Data input at application layer to the device via user interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. EXAMPLE 1: Manipulation of the integrated database via SQL injection over a user interface is mitigated via discarding invalid data input. Systems can be subverted by incorrectly formatted data or code transferred across different types of interface. Automated tools such as fuzzers can be used by attackers or testers to exploit potential gaps and weaknesses that emerge as a result of not validating d..."", ""score"": 0.303124, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0079"", ""excerpt"": ""xploit potential gaps and weaknesses that emerge as a result of not validating data. EXAMPLE 2: The consumer IoT device receives data that is not of the expected type, for example executable code rather than user inputted text. The software on the consumer IoT device has been written so that the input is parameterized or \""escaped\"", preventing this code from being run. Provision 5.13-1B Data input at application layer to the device via network interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. NOTE: This includes network accessible APIs without prior authentication and n..."", ""score"": 0.159764, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""RFC8576-0030"", ""excerpt"": ""April 2019 4. OneM2M [OneM2M]: The standards body defines technical and API specifications for IoT devices. It aims to create a service layer that can run on any IoT device hardware and software. 5. Open Connectivity Foundation (OCF) [OCF]: The foundation develops standards and certifications primarily for IoT devices that use Constrained Application Protocol (CoAP) as the application-layer protocol. 6. Fairhair Alliance [Fairhair]: Specifies an IoT middleware to enable a common IP network infrastructure between different application standards used in building automation and lighting systems such as BACnet, KNX, and ZigBee. 7. OMA LwM2M [L..."", ""score"": 0.085826, ""source"": ""docs\\standards\\RFC8576.txt""}]",unsupported,yes,Input-validation passages do not justify packet capture for a spoofing alert.
EVID-0073,Spoofing,INCREASE_LOGGING,Gather additional evidence to confirm whether the observed pattern reflects spoofed traffic or benign bursty behavior.,"[{""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0078"", ""excerpt"": ""...13 Validate input data Provision 5.13-1 Void. Provision 5.13-1A Data input at application layer to the device via user interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. EXAMPLE 1: Manipulation of the integrated database via SQL injection over a user interface is mitigated via discarding invalid data input. Systems can be subverted by incorrectly formatted data or code transferred across different types of interface. Automated tools such as fuzzers can be used by attackers or testers to exploit potential gaps and weaknesses that emerge as a result of not validating d..."", ""score"": 0.303124, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""ETSI.EN.303.645.V3.1.3-0079"", ""excerpt"": ""xploit potential gaps and weaknesses that emerge as a result of not validating data. EXAMPLE 2: The consumer IoT device receives data that is not of the expected type, for example executable code rather than user inputted text. The software on the consumer IoT device has been written so that the input is parameterized or \""escaped\"", preventing this code from being run. Provision 5.13-1B Data input at application layer to the device via network interfaces shall be validated by the device regarding unexpected data input to prevent system manipulations and failures. NOTE: This includes network accessible APIs without prior authentication and n..."", ""score"": 0.159764, ""source"": ""docs\\standards\\ETSI.EN.303.645.V3.1.3.pdf""}, {""chunk_id"": ""RFC8576-0030"", ""excerpt"": ""April 2019 4. OneM2M [OneM2M]: The standards body defines technical and API specifications for IoT devices. It aims to create a service layer that can run on any IoT device hardware and software. 5. Open Connectivity Foundation (OCF) [OCF]: The foundation develops standards and certifications primarily for IoT devices that use Constrained Application Protocol (CoAP) as the application-layer protocol. 6. Fairhair Alliance [Fairhair]: Specifies an IoT middleware to enable a common IP network infrastructure between different application standards used in building automation and lighting systems such as BACnet, KNX, and ZigBee. 7. OMA LwM2M [L..."", ""score"": 0.085826, ""source"": ""docs\\standards\\RFC8576.txt""}]",unsupported,yes,Input-validation passages do not justify increased logging for a spoofing alert.
EVID-0026,Spoofing,CAPTURE_TRAFFIC,Collect packet-level evidence for offline triage because the alert lacks a validated device identifier.,"[{""chunk_id"": ""RFC8520-0022"", ""excerpt"": ""...ne side of an access list is implicit, based on whether it is applied as to-device-policy or from-device-policy. With the exceptions of the \""name\"" of the ACL, \""type\"", \""name\"" of the Access Control Entry (ACE), and TCP and UDP source and destination port information, publishers of MUD files SHOULD limit the use of ACL model leaf nodes expressed to those found in this specification. Absent any extensions, MUD files are assumed to implement only the following ACL model features: o match-on-ipv4, match-on-ipv6, match-on-tcp, match-on-udp, match-on-icmp Furthermore, only \""accept\"" or \""drop\"" actions SHOULD be included. A MUD manager MAY choose ..."", ""score"": 0.099772, ""source"": ""docs\\standards\\RFC8520.txt""}, {""chunk_id"": ""NIST.SP.800-213A-0037"", ""excerpt"": ""...ort authentication methods. Discussion: To control logical access to interfaces, the IoT device may need to support adequate authentication methods. Some IoT devices or organizations may need support for Personal Identity Verification (PIV). More information about PIV can be found in FIPS 201-2 [ FIPS-201]. Related SP 800-53 Rev. 5 Controls: AC-17(10), IA-2, IA-2(1), IA-2(2), IA-6 Requirements that may be necessary: 1. Ability for the IoT device to require authentication prior to connecting to the device, including using remote access. 2. Ability for the IoT device to support and require appropriate authentication. 3. Ability for the Io..."", ""score"": 0.078743, ""source"": ""docs\\standards\\NIST.SP.800-213A.pdf""}, {""chunk_id"": ""NIST.IR.8259A-0018"", ""excerpt"": ""...ble any local and network interfaces that are not necessary for the core functionality of the device 2. The ability to logically restrict access to each network interface to only authorized entities (e.g., device authentication, user authentication) 3. Configuration settings for use with the Device Configuration capability including, but not limited to, the ability to enable, disable, and adjust thresholds for any ability the device might have to lock or disable an account or to delay additional authentication attempts after too many failed authentication attempts \u2022 This capability supports vulnerability management, access management, d..."", ""score"": 0.078194, ""source"": ""docs\\standards\\NIST.IR.8259A.pdf""}]",general,yes,Access-control guidance supports spoofing defense generally but not packet capture.
