condition,case_id,action_index,predicted_family,action,rationale,audit_id,label,reason
shuffled_rag,iot-v2-006,1,BruteForce,RATE_LIMIT,Reduce the volume of repeated attempts while preserving limited observability.,AE-001,generally_supported,"The excerpts support DoS/resource-exhaustion resistance and delaying state establishment with cookies, which aligns with limiting repeated abusive attempts, but they do not explicitly support rate limiting of brute-force attempts."
shuffled_rag,iot-v2-018,3,Mirai,NOTIFY_OPERATOR,"Escalate promptly because the confidence is high and the gateway scope lacks a validated device identifier, making human validation necessary before stronger containment.",AE-002,unsupported,"The excerpts support continuous monitoring for anomalies and unauthorized activity, but they do not support notifying an operator as the specific action."
rag,iot-v2-005,3,BruteForce,NOTIFY_OPERATOR,Low operational ambiguity remains because the alert is strong but device identity is unverified; operator review is appropriate.,AE-003,unsupported,"The evidence discusses changing authentication values and protecting credentials, not notifying an operator about brute-force activity."
shuffled_rag,iot-v2-029,3,Web,NOTIFY_OPERATOR,Operator review is warranted because the alert is credible but constrained by missing device identity and execution is forbidden.,AE-004,generally_supported,"The excerpts support continuous monitoring, event identification, and device cybersecurity state awareness, which justify operator review/awareness of adverse events, but they do not explicitly recommend notifying an operator."
rag,iot-v2-002,1,Benign,MONITOR,Matches the routing decision and supports continuous observation for deviations from expected activity.,AE-005,directly_supported,"The excerpts explicitly support continuous monitoring for unauthorized activity and deviations from expected activity, which directly matches MONITOR."
rag,iot-v2-012,3,DoS,NOTIFY_OPERATOR,Escalate because the detector confidence is high and the gateway cannot identify a specific device from the CSV features.,AE-006,unsupported,"The excerpts describe DoS/resource-exhaustion attacks and cookie-based defenses, but they do not support notifying an operator because confidence is high or because the device identity cannot be identified."
rag,iot-v2-022,2,Recon,INCREASE_LOGGING,Increase telemetry to support incident validation and correlation for anomalous connection attempts.,AE-007,generally_supported,"The excerpts support continuous monitoring for anomalies and unauthorized activity, which aligns with increasing logging, but they do not explicitly recommend logging as the action."
rag,iot-v2-019,1,Mirai,INCREASE_LOGGING,Collect more evidence because the alert is low confidence and device identity is unvalidated.,AE-008,unsupported,"The evidence discusses interface restriction, access control, and malicious code protection, not increasing logging."
shuffled_rag,iot-v2-032,1,Spoofing,CAPTURE_TRAFFIC,Preserve packet evidence to confirm spoofing indicators and support follow-up analysis.,AE-009,unsupported,"The excerpts discuss validating data input to prevent manipulations and failures, not preserving packets/traffic for spoofing analysis."
rag,iot-v2-032,2,Spoofing,INCREASE_LOGGING,Collect evidence to confirm whether the flow is spoofed or otherwise unauthorized.,AE-010,generally_supported,"The excerpts support requiring authentication and restricting access to interfaces, which aligns with investigating unauthorized access, but they do not specifically support increasing logging."
rag,iot-v2-030,2,Web,CAPTURE_TRAFFIC,Preserve packets for offline review of application-layer content and potential malformed or unexpected inputs.,AE-011,unsupported,"The evidence supports validating unexpected application-layer input over user or network interfaces, not capturing traffic or preserving packets for offline analysis."
shuffled_rag,iot-v2-024,1,Spoofing,INCREASE_LOGGING,Capture richer telemetry around the suspected spoofing-like flow for attribution and validation.,AE-012,unsupported,The cited text is about validating input data and preventing manipulations; it does not support richer telemetry or logging.
shuffled_rag,iot-v2-030,3,Web,NOTIFY_OPERATOR,Human review is appropriate because the alert lacks a validated device identifier and the response is mitigation intent only.,AE-013,generally_supported,"The excerpts support monitoring and accessing device cybersecurity state for authorized entities, which can justify human review of suspicious activity, but they do not specifically support notifying an operator."
shuffled_rag,iot-v2-030,1,Web,INCREASE_LOGGING,Improves forensic visibility for a high-confidence but device-ambiguous web-flow alert.,AE-014,generally_supported,"The cited text supports continuous monitoring and event identification, which aligns with increasing observability/logging, but it does not explicitly mention logging or telemetry expansion."
shuffled_rag,iot-v2-029,1,Web,INCREASE_LOGGING,"Increase observability to validate whether the HTTP flow is expected or indicative of abuse, since device identity is unavailable and the alert is above threshold but not definitive.",AE-015,generally_supported,"The excerpts support continuous monitoring and event identification/monitoring capabilities, which are consistent with increasing logging for visibility, but they do not directly discuss logging."
shuffled_rag,iot-v2-001,3,Benign,NOTIFY_OPERATOR,Provide visibility for review because mitigation intent is non-executing and the scope is limited to an observed flow profile.,AE-016,unsupported,"The cited excerpts discuss authentication value changes and restricting access to interfaces, not notifying an operator or providing visibility for review."
rag,iot-v2-018,1,Mirai,RESTRICT_EGRESS,Contain likely bot-like outbound activity while preserving essential management access.,AE-017,unsupported,"The excerpts support restricting interfaces and services, but they do not justify restricting egress specifically."
shuffled_rag,iot-v2-023,1,Recon,INCREASE_LOGGING,Collect more evidence because the alert confidence is low and the device identity is not validated.,AE-018,unsupported,"The cited excerpts discuss ACLs, authentication, and restricting interfaces, not collecting more evidence or increasing logging due to low-confidence alerts."
rag,iot-v2-018,2,Mirai,CAPTURE_TRAFFIC,Collect evidence to confirm whether the traffic is consistent with Mirai-style scanning or command activity.,AE-019,unsupported,"The excerpts support monitoring and interface restrictions, not capturing traffic."
rag,iot-v2-031,2,Web,CAPTURE_TRAFFIC,Collect packet evidence to determine whether the flow reflects benign web use or malformed/abusive input patterns.,AE-020,unsupported,The evidence concerns input validation to prevent manipulations and failures; it does not support packet capture or traffic collection.
rag,iot-v2-015,1,DoS,NOTIFY_OPERATOR,Routing decision is escalate and confidence is very low; human review is appropriate before containment.,AE-021,unsupported,"The evidence supports DoS detection/defense and managing vulnerabilities, not the specific action of notifying an operator for low confidence or uncertain device identity."
shuffled_rag,iot-v2-015,2,DoS,INCREASE_LOGGING,Improve visibility for correlation and to distinguish DoS from normal traffic variation.,AE-022,unsupported,"The cited text discusses restricting interfaces and access, not increasing logging for DoS visibility or correlation."
shuffled_rag,iot-v2-032,2,Spoofing,INCREASE_LOGGING,Improve visibility into source/destination patterns and any authentication or session anomalies.,AE-023,unsupported,"The excerpts address input validation on interfaces, not improving visibility through logging for spoofing triage."
rag,iot-v2-019,2,Mirai,CAPTURE_TRAFFIC,Preserve traffic samples to confirm whether the behavior matches a botnet-like pattern or benign bursty traffic.,AE-024,unsupported,"The cited material is about access control and malicious code protection, not traffic capture for validation."
shuffled_rag,iot-v2-010,1,DDoS,RATE_LIMIT,Reduce observed burst rate to limit resource exhaustion while preserving visibility.,AE-025,unsupported,"The excerpts support DoS/DDoS resistance and cookies/routability checks, but not the specific action of rate limiting or reducing burst rate."
shuffled_rag,iot-v2-018,2,Mirai,INCREASE_LOGGING,Expand telemetry for the suspicious flow profile to support attribution and identify any spread or command-and-control patterns.,AE-026,unsupported,"The excerpts support continuous monitoring of networks and assets, but not the specific action of increasing logging."
rag,iot-v2-006,2,BruteForce,RATE_LIMIT,Reduce attempt volume while preserving limited connectivity during investigation.,AE-027,generally_supported,"The cited NIST excerpt supports delaying or locking after too many failed authentication attempts, which is directionally related to reducing repeated attempts, but it does not explicitly justify rate limiting."
shuffled_rag,iot-v2-031,3,Web,NOTIFY_OPERATOR,"Routing decision is escalate, and human review is appropriate given the uncertainty and lack of device identity.",AE-028,generally_supported,"The excerpts support monitoring for anomalies and cybersecurity state awareness, which can justify escalation to human review, but they do not explicitly support notifying an operator."
shuffled_rag,iot-v2-014,1,DoS,RATE_LIMIT,Reduce potential flood intensity while preserving limited legitimate traffic.,AE-029,unsupported,"The excerpts support access restriction and defense against resource exhaustion, but they do not justify rate limiting specifically."
rag,iot-v2-026,2,Spoofing,CAPTURE_TRAFFIC,Preserves packet-level evidence to validate whether the traffic is spoofed or otherwise anomalous.,AE-030,generally_supported,"The evidence supports authentication and access restriction for interfaces, which relates to spoofing defense, but not the specific action of capturing traffic."
rag,iot-v2-020,3,Spoofing,NOTIFY_OPERATOR,"The detector already routed the case to escalate, so human review is warranted before stronger containment.",AE-031,generally_supported,"The excerpts support authentication/identification and restricting access, which are compatible with operator review of unauthorized access, but they do not explicitly support notifying an operator."
rag,iot-v2-025,1,Spoofing,INCREASE_LOGGING,Increase visibility to support triage and confirm whether the traffic pattern aligns with spoofed or unauthorized access attempts.,AE-032,generally_supported,"The evidence supports access control and authentication to authorized entities, which is related to assessing spoofed access, but it does not directly justify increased logging."
shuffled_rag,iot-v2-008,1,Benign,MONITOR,"Primary routing decision is monitor, and the alert lacks indicators of active attack behavior.",AE-033,directly_supported,"The excerpts explicitly support continuous monitoring for anomalies, deviations from expected activity, and event identification/monitoring, directly aligning with MONITOR."
rag,iot-v2-014,1,DoS,INCREASE_LOGGING,Capture more detail to confirm whether the bursty high-rate pattern is sustained and to support later containment decisions.,AE-034,unsupported,"The evidence says DoS attacks can be difficult to notice and mentions defensive mechanisms, but it does not support increasing logging to capture more detail."
rag,iot-v2-023,2,Recon,CAPTURE_TRAFFIC,Collect additional evidence to validate whether the observed pattern is probing or normal device behavior.,AE-035,generally_supported,"The evidence supports continuous monitoring of network assets for anomalies, but it does not explicitly support packet capture or traffic preservation as the concrete action."
shuffled_rag,iot-v2-030,2,Web,RATE_LIMIT,Constrains elevated traffic rate while preserving bounded service availability.,AE-036,unsupported,"The excerpts discuss monitoring and event identification, but they do not support rate limiting or constraining traffic volume."
rag,iot-v2-026,1,Spoofing,INCREASE_LOGGING,Improves evidence quality for a suspected spoofing condition without prematurely disrupting service.,AE-037,generally_supported,"The excerpts support authentication and access restrictions, which aligns with spoofing mitigation, but not the specific logging action."
shuffled_rag,iot-v2-012,3,DoS,NOTIFY_OPERATOR,Escalate for human review because the alert is high-confidence but device identity is unvalidated.,AE-038,unsupported,The cited passages do not support operator notification based on unvalidated device identity; they only describe DoS resistance and access control concepts.
